"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias"
200,20,"continuous","binary",1,1,0,1.5,1,0,1,FALSE,0.005,0.004,0.004,-0.509,-0.215,-0.215,-0.509,-0.213,-0.213,-0.509,-0.212,-0.212
100,5,"binary","continuous",1,1,0,1.5,1,0,1,FALSE,0.016,0.016,0.016,0.016,0.016,0.016,0.01,0.01,0.01,0.016,0.016,0.016
200,5,"binary","continuous",1,1,0,1.5,1,0,1,FALSE,0.008,0.008,0.008,0.008,0.008,0.008,0.012,0.012,0.012,0.008,0.008,0.008
100,20,"binary","continuous",1,1,0,1.5,1,0,1,FALSE,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.003,-0.003,-0.003,-0.006,-0.006,-0.006
200,20,"binary","continuous",1,1,0,1.5,1,0,1,FALSE,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.002,-0.002,-0.002,-0.007,-0.007,-0.007
100,5,"continuous","continuous",1,1,0,1.5,1,0,1,FALSE,0,0,0,0,0,0,0.005,0.003,0.003,0,0,0
200,5,"continuous","continuous",1,1,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.004,-0.004,-0.004,-0.001,-0.001,-0.001
100,20,"continuous","continuous",1,1,0,1.5,1,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.003,-0.003,-0.003,-0.002,-0.002,-0.002
200,20,"continuous","continuous",1,1,0,1.5,1,0,1,FALSE,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0
100,5,"binary","binary",1,3,0,1.5,1,0,1,FALSE,0.049,-0.01,-0.01,-0.238,-0.231,-0.231,-0.239,-0.232,-0.232,-0.23,-0.231,-0.231
200,5,"binary","binary",1,3,0,1.5,1,0,1,FALSE,-0.006,-0.064,-0.064,-0.286,-0.282,-0.282,-0.282,-0.281,-0.281,-0.278,-0.283,-0.283
100,20,"binary","binary",1,3,0,1.5,1,0,1,FALSE,0.043,0.02,0.02,-0.238,-0.227,-0.227,-0.23,-0.225,-0.225,-0.22,-0.23,-0.23
200,20,"binary","binary",1,3,0,1.5,1,0,1,FALSE,0.034,0.013,0.013,-0.236,-0.228,-0.228,-0.226,-0.225,-0.225,-0.214,-0.227,-0.227
100,5,"continuous","binary",1,3,0,1.5,1,0,1,FALSE,-0.074,0.035,0.035,-1.008,-0.167,-0.167,-1.011,-0.167,-0.167,-1.009,-0.164,-0.164
200,5,"continuous","binary",1,3,0,1.5,1,0,1,FALSE,-0.116,-0.016,-0.016,-1.022,-0.2,-0.2,-1.021,-0.199,-0.199,-1.022,-0.198,-0.198
100,20,"continuous","binary",1,3,0,1.5,1,0,1,FALSE,-0.01,0.005,0.005,-1.001,-0.202,-0.202,49718767643933.5,-0.199,-0.199,-1.001,-0.197,-0.197
200,20,"continuous","binary",1,3,0,1.5,1,0,1,FALSE,-0.017,0.001,0.001,-1.007,-0.199,-0.199,105943917119981,-0.194,-0.194,-1.007,-0.193,-0.193
100,5,"binary","continuous",1,3,0,1.5,1,0,1,FALSE,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.008
200,5,"binary","continuous",1,3,0,1.5,1,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.01,0.01,0.01,0.003,0.003,0.003
100,20,"binary","continuous",1,3,0,1.5,1,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
200,20,"binary","continuous",1,3,0,1.5,1,0,1,FALSE,0.008,0.008,0.008,0.008,0.008,0.008,0.01,0.01,0.01,0.008,0.008,0.008
100,5,"continuous","continuous",1,3,0,1.5,1,0,1,FALSE,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0
200,5,"continuous","continuous",1,3,0,1.5,1,0,1,FALSE,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.004,0.004,0.005,0.005,0.005
100,20,"continuous","continuous",1,3,0,1.5,1,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003
200,20,"continuous","continuous",1,3,0,1.5,1,0,1,FALSE,0,0,0,0,0,0,-0.001,-0.001,-0.001,0,0,0
100,5,"binary","binary",1,1,0,1.5,1,0,1,FALSE,0.025,-0.006,-0.006,-0.253,-0.222,-0.222,-0.267,-0.233,-0.233,-0.248,-0.22,-0.22
200,5,"binary","binary",1,1,0,1.5,1,0,1,FALSE,0.041,0.011,0.011,-0.236,-0.201,-0.201,-0.223,-0.191,-0.191,-0.233,-0.201,-0.201
100,20,"binary","binary",1,1,0,1.5,1,0,1,FALSE,0.001,-0.007,-0.007,-0.264,-0.23,-0.23,-0.255,-0.227,-0.227,-0.252,-0.23,-0.23
200,20,"binary","binary",1,1,0,1.5,1,0,1,FALSE,0.005,-0.003,-0.003,-0.258,-0.222,-0.222,-0.255,-0.224,-0.224,-0.248,-0.222,-0.222
100,5,"continuous","binary",1,1,0,1.5,1,0,1,FALSE,0.023,0.043,0.043,-0.738,-0.199,-0.199,-0.737,-0.2,-0.2,-0.739,-0.197,-0.197
200,5,"continuous","binary",1,1,0,1.5,1,0,1,FALSE,-0.003,0.014,0.014,-0.754,-0.221,-0.221,-0.755,-0.222,-0.222,-0.754,-0.221,-0.221
100,20,"continuous","binary",1,1,0,1.5,1,0,1,FALSE,-0.009,-0.007,-0.007,-0.747,-0.226,-0.226,-0.745,-0.221,-0.221,-0.747,-0.22,-0.22
200,20,"continuous","binary",1,1,0,1.5,1,0,1,FALSE,-0.003,-0.001,-0.001,-0.737,-0.217,-0.217,-0.735,-0.213,-0.213,-0.737,-0.213,-0.213
100,5,"binary","continuous",1,1,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.007,0.006,0.006,-0.001,-0.001,-0.001
200,5,"binary","continuous",1,1,0,1.5,1,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,-0.004,-0.004,-0.004,0.001,0.001,0.001
100,20,"binary","continuous",1,1,0,1.5,1,0,1,FALSE,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.01,-0.01,-0.01,-0.007,-0.007,-0.007
200,20,"binary","continuous",1,1,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0.001,0.001,-0.001,-0.001,-0.001
100,5,"continuous","continuous",1,1,0,1.5,1,0,1,FALSE,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
200,5,"continuous","continuous",1,1,0,1.5,1,0,1,FALSE,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004
100,20,"continuous","continuous",1,1,0,1.5,1,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
200,20,"continuous","continuous",1,1,0,1.5,1,0,1,FALSE,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003
100,5,"binary","binary",1,3,0,1.5,1,0,1,FALSE,0.089,0.004,0.004,-0.282,-0.212,-0.212,-0.257,-0.2,-0.2,-0.282,-0.21,-0.21
200,5,"binary","binary",1,3,0,1.5,1,0,1,FALSE,0.076,-0.006,-0.006,-0.286,-0.221,-0.221,-0.298,-0.226,-0.226,-0.286,-0.221,-0.221
100,20,"binary","binary",1,3,0,1.5,1,0,1,FALSE,0.02,-0.009,-0.009,-0.304,-0.227,-0.227,-0.298,-0.224,-0.224,-0.288,-0.224,-0.224
200,20,"binary","binary",1,3,0,1.5,1,0,1,FALSE,0.04,0.011,0.011,-0.286,-0.209,-0.209,-0.283,-0.207,-0.207,-0.268,-0.205,-0.205
